State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Alabama,1/5/2019,"6,660",12/29/2018,"22,085","1,894,608",1.17,,,
Alabama,1/12/2019,"4,386",1/5/2019,"20,075","1,894,608",1.06,,,
Alabama,1/19/2019,"3,217",1/12/2019,"17,574","1,894,608",0.93,,,
Alabama,1/26/2019,"2,414",1/19/2019,"16,904","1,894,608",0.89,,,
Alabama,2/2/2019,"2,505",1/26/2019,"16,343","1,894,608",0.86,,,
Alabama,2/9/2019,"2,659",2/2/2019,"16,382","1,894,608",0.86,,,
Alabama,2/16/2019,"1,960",2/9/2019,"15,578","1,894,608",0.82,,,
Alabama,2/23/2019,"2,193",2/16/2019,"15,894","1,894,608",0.84,,,
Alabama,3/2/2019,"2,306",2/23/2019,"15,715","1,894,608",0.83,,,
Alabama,3/9/2019,"2,106",3/2/2019,"14,790","1,894,608",0.78,,,
Alabama,3/16/2019,"2,149",3/9/2019,"14,372","1,894,608",0.76,,,
Alabama,3/23/2019,"2,220",3/16/2019,"14,269","1,894,608",0.75,,,
Alabama,3/30/2019,"2,250",3/23/2019,"14,131","1,894,608",0.75,,,
Alabama,4/6/2019,"2,891",3/30/2019,"14,581","1,894,608",0.77,,,
Alabama,4/13/2019,"2,381",4/6/2019,"13,967","1,901,111",0.73,,,
Alabama,4/20/2019,"1,935",4/13/2019,"13,870","1,901,111",0.73,,,
Alabama,4/27/2019,"1,920",4/20/2019,"13,627","1,901,111",0.72,,,
Alabama,5/4/2019,"2,474",4/27/2019,"13,900","1,901,111",0.73,,,
Alabama,5/11/2019,"2,404",5/4/2019,"14,009","1,901,111",0.74,,,
Alabama,5/18/2019,"2,481",5/11/2019,"14,501","1,901,111",0.76,,,
Alabama,5/25/2019,"2,729",5/18/2019,"14,681","1,901,111",0.77,,,
Alabama,6/1/2019,"2,929",5/25/2019,"15,210","1,901,111",0.8,,,
Alabama,6/8/2019,"2,790",6/1/2019,"16,100","1,901,111",0.85,,,
Alabama,6/15/2019,"2,422",6/8/2019,"15,927","1,901,111",0.84,,,
Alabama,6/22/2019,"2,380",6/15/2019,"17,698","1,901,111",0.93,,,
Alabama,6/29/2019,"3,278",6/22/2019,"17,260","1,901,111",0.91,,,
Alabama,7/6/2019,"2,363",6/29/2019,"17,885","1,901,111",0.94,,,
Alabama,7/13/2019,"4,293",7/6/2019,"20,440","1,908,660",1.07,,,
Alabama,7/20/2019,"2,785",7/13/2019,"18,778","1,908,660",0.98,,,
Alabama,7/27/2019,"2,292",7/20/2019,"17,961","1,908,660",0.94,,,
Alabama,8/3/2019,"2,425",7/27/2019,"17,865","1,908,660",0.94,,,
Alabama,8/10/2019,"2,195",8/3/2019,"17,372","1,908,660",0.91,,,
Alabama,8/17/2019,"2,123",8/10/2019,"16,635","1,908,660",0.87,,,
Alabama,8/24/2019,"2,055",8/17/2019,"15,948","1,908,660",0.84,,,
Alabama,8/31/2019,"2,135",8/24/2019,"15,707","1,908,660",0.82,,,
Alabama,9/7/2019,"1,769",8/31/2019,"15,325","1,908,660",0.8,,,
Alabama,9/14/2019,"2,081",9/7/2019,"15,310","1,908,660",0.8,,,
