State,# Received UI Payment,# Remployed by next Quarter,,
AK,70799,43578,,
AL,,,,
AR,175698,133990,,
AZ,90023,56594,,
CA,,,,
CO,461078,292999,,
CT,428558,327103,,
DC,86697,46705,,
DE,12844,7560,,
FL,,,,
GA,,,,
HI,50000,30673,,
IA,318397,241464,,
ID,6274,5340,,
IL,190744,109278,,
IN,584829,459886,,
KS,164668,123601,,
KY,8961,5477,,
LA,446416,272246,,
MA,545607,383688,,
MD,454715,209378,,
ME,113979,85334,,
MI,1245121,991870,,
MN,79554,54611,,
MO,358350,271605,,
MS,244872,183236,,
MT,,,,
NC,,,,
ND,72765,53838,,
NE,,,,
NH,263364,175441,,
NJ,821097,421943,,
NM,146617,85753,,
NV,88317,58437,,
NY,86248,45179,,
OH,931181,721783,,
OK,11514,6405,,
OR,709193,254311,,
PA,1339431,1016793,,
RI,43273,26076,,
SC,,,,
SD,37627,31486,,
TN,473455,459,,
TX,2003082,1278399,,
UT,148192,107475,,
VT,16765,10873,,
WA,,,,
WI,362731,304243,,
WV,79087,52753,,
WY,32376,15574,,
