st,rptdate,# Received UI Payment,# Remployed by next Quarter,# Remployed by next Quarter (millions)
AK,12/31/19,6386,3610,0.00361
AK,3/31/20,6063,3732,0.003732
AK,6/30/20,49798,31744,0.031744
AK,9/30/20,8552,4492,0.004492
AR,12/31/19,9604,6674,0.006674
AR,3/31/20,8170,6390,0.00639
AR,6/30/20,125764,96458,0.096458
AR,9/30/20,32160,24468,0.024468
AZ,3/31/20,11322,5337,0.005337
AZ,9/30/20,78701,51257,0.051257
CO,12/31/19,16286,9395,0.009395
CO,3/31/20,37006,22794,0.022794
CO,6/30/20,342774,230872,0.230872
CO,9/30/20,65012,29938,0.029938
CT,12/31/19,24481,13310,0.01331
CT,3/31/20,54333,31287,0.031287
CT,6/30/20,289804,245876,0.245876
CT,9/30/20,59940,36630,0.03663
DC,12/31/19,4477,2580,0.00258
DC,3/31/20,4636,1923,0.001923
DC,6/30/20,63896,34660,0.03466
DC,9/30/20,13688,7542,0.007542
DE,12/31/19,3114,1893,0.001893
DE,3/31/20,4335,2643,0.002643
DE,6/30/20,3354,1894,0.001894
DE,9/30/20,2041,1130,0.00113
HI,12/31/19,4317,2912,0.002912
HI,3/31/20,7212,4254,0.004254
HI,6/30/20,7212,4074,0.004074
HI,9/30/20,31259,19433,0.019433
IA,12/31/19,20518,13834,0.013834
IA,3/31/20,42658,34208,0.034208
IA,6/30/20,218748,163764,0.163764
IA,9/30/20,36473,29658,0.029658
ID,12/31/19,6274,5340,0.00534
IL,12/31/19,70582,38011,0.038011
IL,3/31/20,120162,71267,0.071267
IN,12/31/19,16772,10262,0.010262
IN,3/31/20,154418,123218,0.123218
IN,6/30/20,358946,289062,0.289062
IN,9/30/20,54693,37344,0.037344
KS,12/31/19,7685,4770,0.00477
KS,3/31/20,26883,20325,0.020325
KS,6/30/20,130100,98506,0.098506
KY,12/31/18,8961,5477,0.005477
LA,12/31/19,8375,4683,0.004683
LA,3/31/20,52512,33338,0.033338
LA,6/30/20,323929,198862,0.198862
LA,9/30/20,61600,35363,0.035363
MA,12/31/19,40256,23908,0.023908
MA,3/31/20,89440,59151,0.059151
MA,6/30/20,331338,239431,0.239431
MA,9/30/20,84573,61198,0.061198
MD,12/31/19,156404,11384,0.011384
MD,3/31/20,39793,24389,0.024389
MD,6/30/20,222296,153195,0.153195
MD,9/30/20,36222,20410,0.02041
ME,12/31/19,4774,2392,0.002392
ME,3/31/20,23635,16403,0.016403
ME,6/30/20,85570,66539,0.066539
MI,12/31/19,57549,34889,0.034889
MI,3/31/20,123000,90725,0.090725
MI,6/30/20,943969,783224,0.783224
MI,9/30/20,120603,83032,0.083032
MN,12/31/19,35883,21064,0.021064
MN,3/31/20,37654,29097,0.029097
MN,6/30/20,4960,3649,0.003649
MN,9/30/20,1057,801,0.000801
MO,12/31/19,15376,10482,0.010482
MO,3/31/20,39912,29246,0.029246
MO,6/30/20,257382,201946,0.201946
MO,9/30/20,45680,29931,0.029931
MS,12/31/19,4387,2591,0.002591
MS,3/31/20,17080,12648,0.012648
MS,6/30/20,185301,141578,0.141578
MS,9/30/20,38104,26419,0.026419
ND,12/31/19,4587,2808,0.002808
ND,3/31/20,8945,6996,0.006996
ND,6/30/20,53178,39948,0.039948
ND,9/30/20,6055,4086,0.004086
NH,12/31/19,2479,1582,0.001582
NH,3/31/20,21289,14365,0.014365
NH,6/30/20,228646,151926,0.151926
NH,9/30/20,10950,7568,0.007568
NJ,12/31/19,59908,29947,0.029947
NJ,3/31/20,149339,81694,0.081694
NJ,6/30/20,489891,260023,0.260023
NJ,9/30/20,121959,50279,0.050279
NM,12/31/19,6035,3009,0.003009
NM,3/31/20,12550,6543,0.006543
NM,6/30/20,105476,65410,0.06541
NM,9/30/20,22556,10791,0.010791
NV,12/31/19,14680,9760,0.00976
NV,3/31/20,73637,48677,0.048677
NY,12/31/18,86248,45179,0.045179
OH,12/31/19,40963,21699,0.021699
OH,3/31/20,167910,131178,0.131178
OH,6/30/20,634058,505859,0.505859
OH,9/30/20,88250,63047,0.063047
OK,12/31/19,11514,6405,0.006405
OR,12/31/19,23311,13403,0.013403
OR,3/31/20,56260,32754,0.032754
OR,6/30/20,285674,174240,0.17424
OR,9/30/20,89637,33914,0.033914
PA,12/31/19,79657,50466,0.050466
PA,3/31/20,161654,108146,0.108146
PA,6/30/20,931728,740013,0.740013
PA,9/30/20,166392,118168,0.118168
RI,12/31/19,5891,2926,0.002926
RI,3/31/20,37382,23150,0.02315
SD,12/31/19,1430,749,0.000749
SD,3/31/20,2747,2213,0.002213
SD,6/30/20,29485,25331,0.025331
SD,9/30/20,3965,3193,0.003193
TN,12/31/19,343347,196,0.000196
TN,3/31/20,74224,104,0.000104
TN,6/30/20,20409,68,0.000068
TN,9/30/20,35475,91,0.000091
TX,12/31/19,94867,60162,0.060162
TX,3/31/20,139894,76112,0.076112
TX,6/30/20,1387520,908300,0.9083
TX,9/30/20,380801,233825,0.233825
UT,12/31/19,8549,5524,0.005524
UT,3/31/20,14287,9411,0.009411
UT,6/30/20,109207,82289,0.082289
UT,9/30/20,16149,10251,0.010251
VT,12/31/19,3612,2315,0.002315
VT,3/31/20,3612,2315,0.002315
VT,6/30/20,3612,2315,0.002315
VT,9/30/20,5929,3928,0.003928
WI,12/31/19,27786,20527,0.020527
WI,3/31/20,57225,45696,0.045696
WI,6/30/20,240072,207781,0.207781
WI,9/30/20,37648,30239,0.030239
WV,12/31/19,12227,7273,0.007273
WV,3/31/20,27306,18842,0.018842
WV,6/30/20,12226,7370,0.00737
WV,9/30/20,27328,19268,0.019268
WY,12/31/19,3223,1332,0.001332
WY,3/31/20,4650,2502,0.002502
WY,6/30/20,19914,10082,0.010082
WY,9/30/20,4589,1658,0.001658
AK,12/31/18,6533,3648,0.003648
AK,3/31/19,6193,4643,0.004643
AK,6/30/19,3692,2853,0.002853
AK,9/30/19,2512,1688,0.001688
AL,12/31/18,11120,6954,0.006954
AL,3/31/19,14479,10370,0.01037
AL,6/30/19,11449,7376,0.007376
AR,12/31/18,9320,6537,0.006537
AR,3/31/19,10087,7482,0.007482
AR,6/30/19,8921,6406,0.006406
AR,9/30/19,8436,5933,0.005933
AZ,12/31/18,12391,7871,0.007871
AZ,3/31/19,12394,7930,0.00793
AZ,6/30/19,17484,10467,0.010467
AZ,9/30/19,16959,12319,0.012319
CA,12/31/18,224744,115464,0.115464
CA,3/31/19,279892,181024,0.181024
CA,6/30/19,197716,123211,0.123211
CO,12/31/18,15885,8930,0.00893
CO,3/31/19,20510,9850,0.00985
CO,6/30/19,14552,9165,0.009165
CO,9/30/19,12655,7594,0.007594
CT,12/31/18,22802,11846,0.011846
CT,3/31/19,34185,25210,0.02521
CT,6/30/19,19614,12280,0.01228
CT,9/30/19,22981,15791,0.015791
DC,12/31/18,4774,2337,0.002337
DC,3/31/19,8723,6962,0.006962
DC,6/30/19,4193,2552,0.002552
DC,9/30/19,5022,3282,0.003282
DE,12/31/18,3134,1804,0.001804
DE,3/31/19,4377,3287,0.003287
DE,6/30/19,2617,1761,0.001761
DE,9/30/19,3206,2385,0.002385
FL,12/31/18,38694,22855,0.022855
GA,12/31/18,34243,24760,0.02476
GA,3/31/19,39449,29136,0.029136
HI,12/31/18,4986,3253,0.003253
HI,3/31/19,5866,4364,0.004364
HI,6/30/19,5276,3725,0.003725
HI,9/30/19,5063,3627,0.003627
IA,12/31/18,17444,10729,0.010729
IA,3/31/19,31828,27707,0.027707
IA,6/30/19,12650,9532,0.009532
IA,9/30/19,13820,10811,0.010811
ID,12/31/18,7061,5823,0.005823
ID,3/31/19,9334,8158,0.008158
ID,6/30/19,3800,3173,0.003173
ID,9/30/19,2634,2201,0.002201
IL,12/31/18,70352,38548,0.038548
IL,3/31/19,92187,65099,0.065099
IL,6/30/19,51602,31573,0.031573
IL,9/30/19,52780,33579,0.033579
IN,12/31/18,18582,12244,0.012244
IN,3/31/19,23174,18455,0.018455
IN,6/30/19,11976,7664,0.007664
IN,9/30/19,12204,7953,0.007953
KS,12/31/18,6936,4254,0.004254
KS,3/31/19,11598,8500,0.0085
KS,6/30/19,6289,4140,0.00414
KS,9/30/19,6503,4344,0.004344
LA,12/31/18,11071,6985,0.006985
LA,3/31/19,9021,5344,0.005344
LA,6/30/19,9768,6127,0.006127
LA,9/30/19,10300,6294,0.006294
MA,12/31/18,38221,21981,0.021981
MA,3/31/19,56905,45101,0.045101
MA,6/30/19,30996,21134,0.021134
MA,9/30/19,35080,25844,0.025844
MD,12/31/18,19926,11566,0.011566
MD,3/31/19,27068,19655,0.019655
MD,6/30/19,16348,10499,0.010499
MD,9/30/19,17983,12220,0.01222
ME,12/31/18,4770,2351,0.002351
ME,3/31/19,7373,6081,0.006081
ME,6/30/19,3589,2722,0.002722
ME,9/30/19,2652,1987,0.001987
MI,12/31/18,46930,25914,0.025914
MI,3/31/19,80339,68575,0.068575
MI,6/30/19,34403,25066,0.025066
MI,9/30/19,42060,33332,0.033332
MN,12/31/18,31743,18335,0.018335
MN,3/31/19,38761,32729,0.032729
MN,6/30/19,16900,12333,0.012333
MN,9/30/19,14359,10405,0.010405
MO,12/31/18,16768,11321,0.011321
MO,3/31/19,25750,20384,0.020384
MO,6/30/19,13643,9643,0.009643
MO,9/30/19,15995,11755,0.011755
MS,12/31/18,4464,2778,0.002778
MS,3/31/19,5248,3663,0.003663
ND,12/31/18,4269,2676,0.002676
ND,3/31/19,5950,5386,0.005386
ND,6/30/19,2131,1677,0.001677
ND,9/30/19,2228,1771,0.001771
NE,12/31/18,3860,2187,0.002187
NH,12/31/18,2471,1557,0.001557
NH,3/31/19,3831,3073,0.003073
NH,6/30/19,2370,1779,0.001779
NH,9/30/19,2473,1865,0.001865
NJ,12/31/18,58581,28959,0.028959
NJ,3/31/19,77061,53437,0.053437
NJ,6/30/19,47424,27346,0.027346
NJ,9/30/19,61480,41891,0.041891
NM,12/31/18,5924,2778,0.002778
NM,3/31/19,7080,4577,0.004577
NM,6/30/19,5667,3370,0.00337
NM,9/30/19,4922,2728,0.002728
NV,12/31/18,15402,10238,0.010238
NV,3/31/19,14990,10343,0.010343
NV,6/30/19,12181,8095,0.008095
NV,9/30/19,12883,8692,0.008692
OH,12/31/18,35726,18773,0.018773
OH,3/31/19,56758,45251,0.045251
OH,6/30/19,34271,24092,0.024092
OH,9/30/19,27617,17313,0.017313
OK,12/31/18,9153,5405,0.005405
OK,6/30/19,10553,6737,0.006737
OR,12/31/18,24805,15426,0.015426
OR,3/31/19,27900,19119,0.019119
OR,6/30/19,17871,10518,0.010518
OR,9/30/19,20183,12367,0.012367
PA,12/31/18,67630,41536,0.041536
PA,3/31/19,108788,86305,0.086305
PA,6/30/19,66255,45813,0.045813
PA,9/30/19,71881,52040,0.05204
RI,12/31/18,5937,2425,0.002425
RI,3/31/19,10055,7956,0.007956
RI,6/30/19,4785,3056,0.003056
